time,"('Biomass', 'Actual Aggregated')","('Fossil Brown coal/Lignite', 'Actual Aggregated')","('Fossil Coal-derived gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Aggregated')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil shale', 'Actual Aggregated')","('Fossil Peat', 'Actual Aggregated')","('Geothermal', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Water Reservoir', 'Actual Aggregated')","('Marine', 'Actual Aggregated')","('Nuclear', 'Actual Aggregated')","('Other', 'Actual Aggregated')","('Other renewable', 'Actual Aggregated')","('Solar', 'Actual Aggregated')","('Waste', 'Actual Aggregated')","('Wind Offshore', 'Actual Aggregated')","('Wind Onshore', 'Actual Aggregated')",Actual Load
2022-01-01 00:00:00+01:00,526.0,0.0,0.0,3478.0,867.0,135.0,0.0,0.0,0.0,,1271.0,1070.0,1333.0,0.0,6091.0,51.0,99.0,75.0,269.0,0.0,6342.0,21517.0
2022-01-01 01:00:00+01:00,533.0,0.0,0.0,3874.0,847.0,121.0,0.0,0.0,0.0,,1711.0,1082.0,1347.0,0.0,6091.0,50.0,98.0,75.0,268.0,0.0,6398.0,20827.0
2022-01-01 02:00:00+01:00,524.0,0.0,0.0,3557.0,842.0,112.0,0.0,0.0,0.0,,1884.0,1046.0,746.0,0.0,6092.0,50.0,96.0,75.0,265.0,0.0,6456.0,19530.0
2022-01-01 03:00:00+01:00,532.0,0.0,0.0,3590.0,855.0,105.0,0.0,0.0,0.0,,2515.0,1045.0,733.0,0.0,6091.0,50.0,96.0,75.0,266.0,0.0,6144.0,18383.0
2022-01-01 04:00:00+01:00,528.0,0.0,0.0,3444.0,868.0,105.0,0.0,0.0,0.0,,2913.0,1049.0,755.0,0.0,6091.0,51.0,98.0,75.0,260.0,0.0,5943.0,17680.0
2022-01-01 05:00:00+01:00,533.0,0.0,0.0,3446.0,850.0,105.0,0.0,0.0,0.0,,2957.0,1031.0,719.0,0.0,6092.0,51.0,96.0,75.0,266.0,0.0,5836.0,17396.0
2022-01-01 06:00:00+01:00,534.0,0.0,0.0,3651.0,856.0,106.0,0.0,0.0,0.0,,2854.0,1016.0,611.0,0.0,6092.0,51.0,93.0,75.0,268.0,0.0,5685.0,17544.0
2022-01-01 07:00:00+01:00,539.0,0.0,0.0,3847.0,856.0,108.0,0.0,0.0,0.0,,2850.0,1018.0,779.0,0.0,6092.0,49.0,91.0,75.0,267.0,0.0,5583.0,17866.0
2022-01-01 08:00:00+01:00,527.0,0.0,0.0,3737.0,841.0,109.0,0.0,0.0,0.0,,2992.0,1029.0,768.0,0.0,6094.0,50.0,95.0,144.0,268.0,0.0,5546.0,17806.0
2022-01-01 09:00:00+01:00,525.0,0.0,0.0,3591.0,829.0,110.0,0.0,0.0,0.0,,3305.0,1037.0,729.0,0.0,6094.0,51.0,94.0,2024.0,269.0,0.0,5625.0,18533.0
